id,user,fecha,tweet,pais,miedo,ira,expectante,confianza,sorpresa,tristeza,repulsion,alegria,positivo,negativo,emociones,polaridad,palabra,emocion,puntuacion
1,Diputado Sergio Bobadilla,2024-01-30 15:00:33,"¿Un tótem de seguridad? ¿En serio?

Cada día puede ser peor.

El gobierno no tiene la menor idea que hacer para controlar la delincuencia.

O simplemente no le interesa resolver la crisis de inseguridad que golpea al país.",Chile,3,0,0,0,0,1,1,0,2,6,['miedo'],negativo,crisis,miedo,0.766
3,Alberto Caliu,2024-01-30 14:21:53,"Lo que está sucediendo:
Amnistía a Golpistas, invasión inmigratoria, asfixia fiscal, desempleo, inseguridad, leyes favorables a violadores, condonación de deuda a Cataluña, favores a terroristas...

Lo que debería estar sucediendo:
Las calles de España ardiendo, huelga general",Spain,2,2,0,1,0,1,0,0,1,4,"['miedo', 'ira']",negativo,asfixia,miedo,0.875
4,Fortunata y Jacinta,2024-01-30 11:23:07,"Aquí os dejo mi primera colaboración para 
@libertaddigital
: «La islamización de Europa». La crítica a la inmigración descontrolada y al crecimiento de la inseguridad ciudadana en determinadas zonas de Europa suele ser identificada por los grupos autotitulados ""progresistas"" como",Spain,1,0,0,0,0,0,0,0,2,1,['miedo'],positivo,crítica,sorpresa,0.477
5,Antonio Papell,2024-01-30 08:14:53,"Jabois en la SER, sobre el cartel de la Semana Santa sevillana: ""no hay nada más simpático que un homófobo delante de la belleza masculina. Nada más simpático que esa inseguridad. Como si les fuera a pasar algo"".",Spain,3,0,0,2,1,3,0,3,3,2,"['miedo', 'tristeza', 'alegria']",positivo,belleza,alegria,0.621
59,Pascal,2024-01-29 23:05:42,"De “esto se resuelve al día siguiente de las elecciones, porque se acabarán las razones para delinquir” a “ya no me dará tiempo de resolver la inseguridad”.",Mexico,1,0,0,0,0,0,0,0,0,1,['miedo'],negativo,inseguridad,miedo,0.484
61,Ximena Rincón,2024-01-29 21:09:50,"Tras reunión con el gremio de Camioneros para exponerme sus preocupaciones por la falta de seguridad en todo el país me hacen llegar puntos importantes que le solicitan al gobierno.  La situación de inseguridad en todo el país no da más. 

“Resumen de petitorio -ultimátum de",Chile,5,2,3,1,0,1,2,0,1,5,['miedo'],negativo,falta,repulsion,0.734
62,Gloria Alfa y Omega,2024-01-29 16:13:42,"Los chairos están atacando a Jorge Ramos diciendo que “miente” pero lo que no saben es que Jorge Ramos utilizó datos QUE EL MISMO GOBIERNO DE AMLO proporcionó.
Básicamente en su afán de “defender” la ineptitud del presidente ante la inseguridad , los chairos están insinuando que",Mexico,3,0,1,2,0,1,1,1,3,2,['miedo'],positivo,afán,expectante,0.812
68,La Abuela García®™,2024-01-29 03:28:50,"Recuerden que los celos no son producto del amor, si no de la inseguridad.
Por lo tanto es culpa del Gobierno",Mexico,2,1,0,0,0,2,2,1,1,3,"['miedo', 'tristeza', 'repulsion']",negativo,culpa,tristeza,0.75
69,Beto Hanalfa,2024-01-28 11:12:07,"El votante de Kicillof está satisfecho con su elección y se banca vivir en la inseguridad extrema, cagar en un balde, pescar sábalos en la pieza cuando se le inunda el rancho y caminar 30 cuadras para conseguir una garrafa. 
Pero no le vendas ""la Patria"" porque se pone como loco.",Argentina,1,0,0,0,1,0,0,1,2,1,"['miedo', 'sorpresa', 'alegria']",positivo,satisfecho,alegria,0.725
70,Marcos Palazzolo,2024-01-27 16:18:17,"Donde gobierna el kirchnerismo hay inseguridad, no importa cuando leas esto.",Argentina,1,0,0,0,0,0,0,0,0,1,['miedo'],negativo,inseguridad,miedo,0.484
73,Germán Renko,2024-01-27 03:03:00,"El amor no es tóxico, tóxicas son las escenas de celos, la inseguridad, las carencias emocionales, los apegos, la inmadurez emocional, la falta de responsabilidad afectiva y los narcisistas. Muchos sueñan con encontrar el amor verdadero, pocos se atreven a trabajar en sí mismos.",Mexico,3,3,1,1,0,1,3,2,5,5,"['miedo', 'ira', 'repulsion']",neutro,amor,alegria,0.932
76,Ciriaco™,2024-01-26 13:15:21,Blackpill: el rédito político de la inseguridad y violencia ligadas a la inmigración lo van a ir capitalizando las sucursales locales y autonómicas del PSOE hasta apoderárselo en general cuando sea políticamente rentable hacerlo porque la única ideología del PSOE es el poder.,Spain,2,1,0,1,0,1,0,0,1,2,['miedo'],negativo,violencia,miedo,0.812
77,Mario Bergara,2024-01-26 12:54:03,"La penetración del narco y la inseguridad en los barrios es un flagelo que destruye tejido social y cultural y afecta significativamente la convivencia. Por eso, Seregnistas propuso al 
@Frente_Amplio
 iniciar a la brevedad gestiones  para establecer un diálogo sobre seguridad",Uruguay,2,1,0,1,0,0,0,0,0,2,['miedo'],negativo,penetración,miedo,0.531
78,LIMS,2024-01-26 12:50:15,"La ironía esta en quejarse de lo ocurrido ayer y lamentarse por la inseguridad en Valledupar...

Ahhh pero son felices andando con esos traquetos, queriendo ir a sus fiestas y añorando vivir ese estilo de vida.",Colombia,1,0,0,0,0,0,0,1,2,1,"['miedo', 'alegria']",positivo,fiestas,alegria,0.562
80,Crystal Molly,2024-01-26 00:42:49,"Quiero ir al GYM pero me da mucha pena que la gente que ya esta mamada me vea toda flácida y cuadrada  yo se y entiendo que para eso es, para llegar y ponerte después mejorcito pero aun así me da inseguridad, y como chica trans el que en un ejercicio se me marque o vea un",Mexico,2,1,1,0,0,1,0,0,0,2,['miedo'],negativo,pena,ira,0.484
81,Priscilla Vindas Salazar,2024-01-26 00:08:29,"Ante la actual crisis de inseguridad, es inaceptable que recursos altamente capacitados y especializados de la unidad de UEI de la DIS se utilicen de guarda espaldas de una presidenta Ejecutiva de la CCSS.
Mucho menos que estos se utilicen contra periodistas.",Costa Rica,1,0,0,3,0,1,0,1,3,3,['confianza'],neutro,crisis,miedo,0.766
82,Carlos Piña,2024-01-25 22:16:58,"La percepción en las calles sobre inseguridad, violencia e inflación; es algo que definitivamente no se puede sentir en las redes sociales.

Es algo que ni todo el aparato propagandista en redes, puede cambiar.

Los likes y las tendencias no alimentan ni dan seguridad social.",Mexico,3,1,0,0,0,1,0,0,0,3,['miedo'],negativo,violencia,miedo,0.812
551,Agustín Romo,2024-01-24 16:34:16,"Asumieron con el dolar a $60.
Se fueron con el dolar a $1000.
Dejaron 50% de pobres, 10% de indigentes, 60% de pobreza infantil, hiperinflación, 50% de los trabajadores en la informalidad, jubilaciones de 100 dolares, salarios mas bajos del continente, inseguridad por todos",Argentina,2,2,0,0,0,1,2,0,0,3,"['miedo', 'ira', 'repulsion']",negativo,pobreza,tristeza,0.69
552,nandogerman,2024-01-24 07:37:39,"La alusión a la violación grave de derechos humanos no añade seguridad jurídica. Todo lo contrario; añade inseguridad, falta de certeza y taxatividad, principios básicos del derecho penal.",Spain,5,3,0,0,1,3,1,0,1,6,['miedo'],negativo,violación,repulsion,0.906
554,Erik Camacho García,2024-01-23 23:39:39,"¿Han dejado de ir a algún lugar que les gusta por la inseguridad en las carreteras?
Yo sí. A muchos...",Mexico,1,0,0,0,0,0,0,0,1,1,['miedo'],neutro,inseguridad,miedo,0.484
556,Manuel Clouthier C.,2024-01-23 22:03:10,"El Presidente actual de Mexico se llama Andrés Manuel  
@lopezobrador_
   y los mexicanos tenemos muchas preguntas, no 3 ni 4, que el presidente ha evadido contestar ! Queremos saber sobre la corrupción escandalosa de sus gobierno, que hace sobre  la inseguridad y el Narco",Mexico,2,0,0,1,0,0,1,0,1,3,['miedo'],negativo,corrupción,repulsion,0.656
557,Jesús Ortega Martínez,2024-01-23 20:19:09,"Se ha puesto en marcha un plan del gobierno de 
@lopezobrador_
 para tratar de frustrar el #ParoNacionalDeTransportistas que se llevará a cabo el próximo 5 de febrero. Este paro tiene el propósito de protestar por la inseguridad que se vive a diario en todas las carreteras del",Mexico,3,1,2,2,2,1,2,2,3,5,['miedo'],negativo,frustrar,ira,0.604
558,Elmer José Montaña Gallego,2024-01-23 19:22:05,"Mientras se incrementa el pie de fuerza en la ciudad de Cali, para combatir la inseguridad, disminuye la asistencia social. Solamente entrarán a funcionar 130 comedores comunitarios de los 760 habilitados. Atenderán 12 mil personas y quedaran con hambre 73 mil.  
@alejoeder",Mexico,1,0,1,2,0,0,0,0,1,1,['confianza'],neutro,fuerza,confianza,0.656
559,Diego Alfaro,2024-01-23 16:23:49,"En otras noticias, en la madrugada del domingo me asaltaron en el centro de Oaxaca. Les cuento para que no se confíen, ya que es muy común caminar por sus calles sin cuidado creyendo que es una ciudad segura, pero lamentablemente los índices de inseguridad han subido.",Mexico,1,0,0,1,0,2,1,0,2,3,['tristeza'],negativo,lamentablemente,tristeza,0.672
563,cris,2024-01-23 12:19:18,chiara diciendo que se siente inútil por aportar cosas? ósea la inseguridad? inútiles todos los que han estado en esa sala quejándose de la letra y no han aportado una mierda,Spain,1,1,0,0,0,0,1,0,1,3,"['miedo', 'ira', 'repulsion']",negativo,mierda,repulsion,0.82
565,Dr. Mario Fitz Maurice,2024-01-23 03:20:57,"Si Vivis en provincia y no te quejas de la inseguridad sos cómplice! 
Pásalo!",Argentina,1,0,0,0,0,0,0,0,0,1,['miedo'],negativo,inseguridad,miedo,0.484
1024,Liliana Gabas,2024-01-22 18:56:07,"Por una vez digamos la verdad: los únicos culpables de la terrible inseguridad en el conurbano y de la impunidad de los asesinos, delincuentes y chorros sin condena como Insaurralde,son...los votantes!!! Qué clase de gente vota a Kicillof??? Un 50% lo votó!",Argentina,2,1,0,1,0,1,1,0,1,2,['miedo'],negativo,terrible,tristeza,0.797
1025,César Biondini,2024-01-22 18:32:37,"Muy doloroso el asesinato de la pequeña Umma a manos de delincuentes. Sin duda, la inseguridad es uno de los grandes flagelos de nuestro país y una de las enormes deudas sin resolver de la Democracia.",Argentina,4,2,0,1,1,3,2,0,0,5,['miedo'],negativo,asesinato,miedo,0.906
1026,ＤＡＮＡＮＮ,2024-01-22 18:28:51,"Mataron a una chiquita de 9 años de un balazo en la nuca.
No vamos a ver a la ONU pidiendo debatir la inseguridad en la Argentina ni a los colectivos feminazis exigiendo justicia.
Esto ya no es una cuestión ideológica, es una grieta entre la gente normal y los hijos de puta.",Argentina,1,0,0,1,0,0,1,0,1,3,"['miedo', 'confianza', 'repulsion']",negativo,puta,repulsion,0.766
1028,M. Poirot,2024-01-22 18:18:19,"Cuántos inocentes más tienen que morir a manos de criminales en la provincia de Buenos Aires para que te decidas a trabajar contra la inseguridad, 
@Kicillofok
? Nueve años tenía la nena asesinada en Lomas de Zamora. Inservible, lacra inmunda, defensor de delincuentes.",Argentina,1,0,0,1,0,0,0,0,1,1,"['miedo', 'confianza']",neutro,defensor,confianza,0.555
1029,Bernardo Erlich,2024-01-22 18:15:45,"Hay que dejar de llamar ola de inseguridad a la ola de delitos, a ver si así se entiende.",EEUU,1,0,0,0,0,0,0,0,0,2,['miedo'],negativo,inseguridad,miedo,0.484
